"education","workerid","enjoyment","fairprice","age","gender","asses","comments","problems","language","speaker_cond"
3,0,2,"yes",53,"Male","Yes","great hit","I hit the wrong key on some of them because I ma left handed and it kind of twisted mt good and bad","English","all"
3,1,2,"2.30",26,"Male","No","No problems at all, the only question I had was ""some."" I never did it if I got all of the gumballs. I hope that was correct.","None at all","English","all"
2,2,2,"2.30",53,"Female","Yes","","no","English","all"
2,3,2,"2.30",27,"Male","Yes","n/a","no but, i was a little confused between the difference between ""all of the gumballs"" and ""some of the gumballs"" in the beginning. Please excuse me.","english","all"
3,4,1,"2.30",38,"Male","Yes","I couldn't figure out how the person getting fired would affect my reporting because I couldn't figure out a way to help them.","no","English","all"
3,5,1,"Yes",28,"Female","Yes","","There was one spot the audio didn't play.","English","all"
2,6,2,"2.3",46,"Male","Yes","","no","English","all"
2,7,2,"2.30",42,"Female","Confused","I tried to do this in a technical manner. If I got all of the gum balls and it said I got some of the gum balls, I technically DID get some of the gum balls, even if I got them ALL. If I got 8 gum balls and she said I got 5 gum balls, I did NOT get 8 balls, I got 5. Whether he gets fired or not, since the instructions didn't really clarify whether all = sum or whether or not I got more or less than what the machine said, I'm went with what was technically correct. I think. That dude is definitely getting fired.","Needed clearer instructions.","English","all"
1,8,2,"yes",25,"Male","Yes","It was a nice an easy hit.","none.","English","all"
3,9,2,"2.30",32,"Male","Yes","","No.","english","all"
1,10,2,"2.50",30,"Male","Yes","","No issues to report.","English","all"
2,11,2,"2.50",45,"Male","Yes","no problems","no problems","English","all"
3,12,2,"$1.30",43,"Male","Yes","I think I answered ""wrong"" for the first one that said ""some"" but corrected it after that.","no","English","all"
3,13,1,"2.30",38,"Female","Yes","","No","english","all"
2,14,1,"2.50",22,"Male","Yes","","none","English","all"
3,15,2,"2.30",28,"Male","Yes","Nil","No","English","all"
2,16,2,"It is",22,"Female","Yes","","","English","all"
2,17,2,"Could pay about a dollar more since I'm at $13/hr right now",34,"Female","Yes","","No issues","English","all"
3,18,2,"2.30",56,"Male","Yes","no other comments","no problems","English","all"
3,19,2,"Yes, very fair.  Thank you.",50,"Female","Yes","Interesting.  A few I had to think about.  Great format, something different.","No problems, all ran well.","English","all"
2,20,1,"3",26,"Female","Yes","","","english","all"
3,21,2,"2.50",38,"Male","Yes","no comments","none","english","all"
1,22,1,"3.00",35,"Male","Yes","Thanks","No","English","all"
3,23,2,"2.30",32,"Male","Yes","I thought it was a fun interactive game but I'm not sure what could be gained from the data.","No","English","all"
2,24,2,"2.30",32,"Male","Yes","None","None","English","all"
3,25,2,"2.30",54,"Female","Yes","fun well compensated HIT","none","english","all"
1,26,2,"3",27,"Male","Yes","","no","english","all"
2,27,2,"2",47,"Male","Yes","","no","English","all"
1,28,2,"yes",60,"Male","Yes","","no","English","all"
2,29,2,"3.50",37,"Male","No","","no","English","all"
1,30,2,"2.30",35,"Male","Yes","Some of these I was unsure how to answer... such as when someone got all the gumballs and it said 'You got SOME of the gumballs'... while that is obviously technically true, answering that as accurate would make it seem like there were still some left but the machine would be empty, the result being that the guy would get fired - so I answered false for those. I think I might have changed my answer on those more 'ambiguous' ones at least once or twice as I was unsure initially to answer with a technical answer or in reference to the machine being empty/the guy getting fired. I hope that makes sense! Thanks for the HIT. Have a nice day!","No","English","all"
1,31,2,"2.30",24,"Male","Yes","","","English","all"
3,32,2,"2",34,"Male","Yes","","none","English","all"
3,33,1,"2.30",29,"Male","Yes","","","english","all"
3,34,2,"2.30$",27,"Female","Yes","This survey is very nice.","No","English","all"
2,35,1,"4.00",56,"Male","Yes","","None","English","all"
2,36,2,"2.30",37,"Female","Yes","I never really knew how to respond when it asked ""some"" of the gumballs. I hope I did it right. I would also say that having the f as disagree was a little hard to get use to.","no","English","all"
2,37,1,"2.50",33,"Male","Yes","","N/A","English","all"
3,38,1,"2.30",29,"Female","Yes","","no","English","all"
2,39,1,"3.00",38,"Male","Yes","","none","English","all"
2,40,1,"yes",27,"Male","No","","no","english","all"
3,41,1,"3.00",24,"Male","Yes","","no","English","all"
3,42,2,"Yes",35,"Male","Yes","None","no","English","all"
2,43,2,"2.30",31,"Female","Yes","That employee needs to unionize, talk about bad working conditions am I right?","I was a little unsure if for example ""you got 5 gumballs"" was true if I got 10 gumballs, but maybe that was the point?","english","all"
2,44,1,"3.00",42,"Female","Yes","","No","English","all"
3,45,1,"Yes",31,"Male","Yes","","I had no problems ","English","all"
2,46,1,NA,37,"Female","Yes","","None.","English","all"
3,47,2,"2.5",30,"Male","Yes","","no","English","all"
3,48,1,"3.00",31,"Male","Yes","Thank you!","None","English","all"
