"slide_type","response","Answer.condition","Answer.time_in_minutes","workerid","audio","slide_number","image","speaker_cond"
"bot_check","[0, 'Jennifer']","all_QUD",9.6172,0,"",1,"Jennifer","all"
"audio_check","[0, 'Four']","all_QUD",9.6172,0,"",3,"","all"
"comprehension_check_1","[0, 'Empty']","all_QUD",9.6172,0,"",4,"","all"
"practice_trial","[6195, 'No']","all_QUD",9.6172,0,"none.wav",6,"13","all"
"practice_trial","[2180, 'Yes']","all_QUD",9.6172,0,"all.wav",7,"13","all"
"practice_trial","[1941, 'No']","all_QUD",9.6172,0,"all.wav",8,"0","all"
"practice_trial","[2833, 'Yes']","all_QUD",9.6172,0,"none.wav",9,"0","all"
"trial_1","[6575, 'Yes']","all_QUD",9.6172,0,"none.wav",11,"8","all"
"trial_1","[4582, 'Yes']","all_QUD",9.6172,0,"some.wav",12,"13","all"
"trial_1","[1768, 'Yes']","all_QUD",9.6172,0,"two.wav",13,"2","all"
"trial_1","[1709, 'No']","all_QUD",9.6172,0,"all.wav",14,"2","all"
"trial_1","[3184, 'No']","all_QUD",9.6172,0,"four.wav",15,"5","all"
"trial_1","[2291, 'Yes']","all_QUD",9.6172,0,"all.wav",16,"13","all"
"trial_1","[1569, 'Yes']","all_QUD",9.6172,0,"two.wav",17,"2","all"
"trial_1","[2166, 'Yes']","all_QUD",9.6172,0,"none.wav",18,"0","all"
"trial_1","[3101, 'Yes']","all_QUD",9.6172,0,"eight.wav",19,"8","all"
"trial_1","[1604, 'No']","all_QUD",9.6172,0,"five.wav",20,"0","all"
"trial_1","[2047, 'No']","all_QUD",9.6172,0,"eleven.wav",21,"8","all"
"trial_1","[1466, 'No']","all_QUD",9.6172,0,"some.wav",22,"0","all"
"trial_1","[1872, 'No']","all_QUD",9.6172,0,"eight.wav",23,"13","all"
"trial_1","[2792, 'Yes']","all_QUD",9.6172,0,"some.wav",24,"13","all"
"trial_1","[1689, 'Yes']","all_QUD",9.6172,0,"some.wav",25,"8","all"
"trial_1","[1630, 'Yes']","all_QUD",9.6172,0,"all.wav",26,"13","all"
"trial_1","[1925, 'No']","all_QUD",9.6172,0,"thirteen.wav",27,"8","all"
"trial_1","[1750, 'No']","all_QUD",9.6172,0,"all.wav",28,"5","all"
"trial_1","[1498, 'Yes']","all_QUD",9.6172,0,"all.wav",29,"13","all"
"trial_1","[1699, 'No']","all_QUD",9.6172,0,"ten.wav",30,"5","all"
"trial_1","[1236, 'No']","all_QUD",9.6172,0,"some.wav",31,"0","all"
"trial_1","[1524, 'Yes']","all_QUD",9.6172,0,"none.wav",32,"0","all"
"trial_1","[3679, 'No']","all_QUD",9.6172,0,"seven.wav",33,"11","all"
"trial_1","[1733, 'Yes']","all_QUD",9.6172,0,"two.wav",34,"2","all"
"trial_1","[1757, 'Yes']","all_QUD",9.6172,0,"two.wav",35,"2","all"
"trial_1","[2250, 'Yes']","all_QUD",9.6172,0,"eight.wav",36,"8","all"
"trial_1","[4583, 'Yes']","all_QUD",9.6172,0,"eleven.wav",37,"11","all"
"trial_1","[1940, 'Yes']","all_QUD",9.6172,0,"some.wav",38,"13","all"
"trial_1","[1993, 'Yes']","all_QUD",9.6172,0,"none.wav",39,"0","all"
"trial_1","[1505, 'No']","all_QUD",9.6172,0,"eleven.wav",40,"0","all"
"trial_1","[1896, 'Yes']","all_QUD",9.6172,0,"all.wav",41,"13","all"
"trial_1","[1815, 'Yes']","all_QUD",9.6172,0,"five.wav",42,"5","all"
"trial_1","[1540, 'Yes']","all_QUD",9.6172,0,"some.wav",43,"5","all"
"trial_1","[1307, 'Yes']","all_QUD",9.6172,0,"some.wav",44,"13","all"
"trial_1","[1760, 'No']","all_QUD",9.6172,0,"all.wav",45,"0","all"
"trial_1","[1407, 'No']","all_QUD",9.6172,0,"all.wav",46,"11","all"
"comprehension_check_2","[0, 'Empty']","all_QUD",9.6172,0,"",47,"","all"
"trial_2","[1719, 'Yes']","all_QUD",9.6172,0,"some.wav",48,"13","all"
"trial_2","[2032, 'Yes']","all_QUD",9.6172,0,"two.wav",49,"2","all"
"trial_2","[1755, 'Yes']","all_QUD",9.6172,0,"five.wav",50,"5","all"
"trial_2","[1191, 'No']","all_QUD",9.6172,0,"all.wav",51,"8","all"
"trial_2","[1543, 'Yes']","all_QUD",9.6172,0,"eight.wav",52,"8","all"
"trial_2","[2608, 'Yes']","all_QUD",9.6172,0,"eight.wav",53,"8","all"
"trial_2","[1996, 'Yes']","all_QUD",9.6172,0,"some.wav",54,"13","all"
"trial_2","[1435, 'Yes']","all_QUD",9.6172,0,"some.wav",55,"2","all"
"trial_2","[1339, 'No']","all_QUD",9.6172,0,"three.wav",56,"0","all"
"trial_2","[2154, 'No']","all_QUD",9.6172,0,"two.wav",57,"5","all"
"trial_2","[1593, 'No']","all_QUD",9.6172,0,"none.wav",58,"13","all"
"trial_2","[1745, 'Yes']","all_QUD",9.6172,0,"all.wav",59,"13","all"
"trial_2","[2838, 'No']","all_QUD",9.6172,0,"one.wav",60,"11","all"
"trial_2","[1481, 'No']","all_QUD",9.6172,0,"all.wav",61,"5","all"
"trial_2","[1460, 'Yes']","all_QUD",9.6172,0,"none.wav",62,"0","all"
"trial_2","[1103, 'No']","all_QUD",9.6172,0,"some.wav",63,"0","all"
"trial_2","[899, 'Yes']","all_QUD",9.6172,0,"all.wav",64,"13","all"
"trial_2","[3767, 'No']","all_QUD",9.6172,0,"ten.wav",65,"13","all"
"trial_2","[1173, 'Yes']","all_QUD",9.6172,0,"all.wav",66,"13","all"
"trial_2","[1146, 'No']","all_QUD",9.6172,0,"twelve.wav",67,"2","all"
"trial_2","[1085, 'No']","all_QUD",9.6172,0,"none.wav",68,"2","all"
"trial_2","[1386, 'Yes']","all_QUD",9.6172,0,"none.wav",69,"0","all"
"trial_2","[1604, 'No']","all_QUD",9.6172,0,"two.wav",70,"8","all"
"trial_2","[2295, 'Yes']","all_QUD",9.6172,0,"eight.wav",71,"8","all"
"trial_2","[1064, 'Yes']","all_QUD",9.6172,0,"two.wav",72,"2","all"
"trial_2","[1220, 'No']","all_QUD",9.6172,0,"all.wav",73,"11","all"
"trial_2","[1325, 'Yes']","all_QUD",9.6172,0,"some.wav",74,"11","all"
"trial_2","[3499, 'Yes']","all_QUD",9.6172,0,"eleven.wav",75,"11","all"
