"audio","response","slide_number","image","workerid","Answer.time_in_minutes","slide_type","Answer.condition","speaker_cond"
"","[0, 'Mary']",1,"Mary",0,11.48345,"bot_check","all_QUD","allQUD"
"","[0, 'Four']",3,"",0,11.48345,"audio_check","all_QUD","allQUD"
"","[0, 'Empty']",4,"",0,11.48345,"comprehension_check_1","all_QUD","allQUD"
"none.wav","[1561658903267, 'No']",6,"13",0,11.48345,"practice_trial","all_QUD","allQUD"
"all.wav","[1561658908193, 'Yes']",7,"13",0,11.48345,"practice_trial","all_QUD","allQUD"
"all.wav","[1561658914036, 'No']",8,"0",0,11.48345,"practice_trial","all_QUD","allQUD"
"none.wav","[1561658920227, 'Yes']",9,"0",0,11.48345,"practice_trial","all_QUD","allQUD"
"four.wav","[3581, 'No']",11,"5",0,11.48345,"trial_1","all_QUD","allQUD"
"eleven.wav","[2123, 'No']",12,"8",0,11.48345,"trial_1","all_QUD","allQUD"
"all.wav","[1700, 'No']",13,"2",0,11.48345,"trial_1","all_QUD","allQUD"
"none.wav","[2461, 'No']",14,"8",0,11.48345,"trial_1","all_QUD","allQUD"
"all.wav","[1505, 'No']",15,"5",0,11.48345,"trial_1","all_QUD","allQUD"
"all.wav","[1494, 'Yes']",16,"13",0,11.48345,"trial_1","all_QUD","allQUD"
"two.wav","[1606, 'Yes']",17,"2",0,11.48345,"trial_1","all_QUD","allQUD"
"summa.wav","[1937, 'No']",18,"0",0,11.48345,"trial_1","all_QUD","allQUD"
"summa.wav","[2061, 'No']",19,"13",0,11.48345,"trial_1","all_QUD","allQUD"
"none.wav","[1747, 'Yes']",20,"0",0,11.48345,"trial_1","all_QUD","allQUD"
"eight.wav","[2068, 'No']",21,"13",0,11.48345,"trial_1","all_QUD","allQUD"
"all.wav","[1480, 'Yes']",22,"13",0,11.48345,"trial_1","all_QUD","allQUD"
"eight.wav","[2779, 'Yes']",23,"8",0,11.48345,"trial_1","all_QUD","allQUD"
"summa.wav","[1765, 'No']",24,"13",0,11.48345,"trial_1","all_QUD","allQUD"
"five.wav","[1824, 'No']",25,"0",0,11.48345,"trial_1","all_QUD","allQUD"
"summa.wav","[2046, 'Yes']",26,"8",0,11.48345,"trial_1","all_QUD","allQUD"
"two.wav","[1467, 'Yes']",27,"2",0,11.48345,"trial_1","all_QUD","allQUD"
"thirteen.wav","[5089, 'No']",28,"11",0,11.48345,"trial_1","all_QUD","allQUD"
"all.wav","[1615, 'No']",29,"0",0,11.48345,"trial_1","all_QUD","allQUD"
"five.wav","[3534, 'Yes']",30,"5",0,11.48345,"trial_1","all_QUD","allQUD"
"all.wav","[1599, 'Yes']",31,"13",0,11.48345,"trial_1","all_QUD","allQUD"
"summa.wav","[1649, 'No']",32,"13",0,11.48345,"trial_1","all_QUD","allQUD"
"summa.wav","[1644, 'No']",33,"13",0,11.48345,"trial_1","all_QUD","allQUD"
"seven.wav","[2481, 'No']",34,"11",0,11.48345,"trial_1","all_QUD","allQUD"
"none.wav","[1508, 'Yes']",35,"0",0,11.48345,"trial_1","all_QUD","allQUD"
"summa.wav","[1255, 'No']",36,"0",0,11.48345,"trial_1","all_QUD","allQUD"
"summa.wav","[1820, 'Yes']",37,"5",0,11.48345,"trial_1","all_QUD","allQUD"
"eleven.wav","[4279, 'Yes']",38,"11",0,11.48345,"trial_1","all_QUD","allQUD"
"all.wav","[1660, 'No']",39,"11",0,11.48345,"trial_1","all_QUD","allQUD"
"ten.wav","[1619, 'No']",40,"5",0,11.48345,"trial_1","all_QUD","allQUD"
"eleven.wav","[1926, 'No']",41,"0",0,11.48345,"trial_1","all_QUD","allQUD"
"all.wav","[1424, 'Yes']",42,"13",0,11.48345,"trial_1","all_QUD","allQUD"
"two.wav","[1583, 'Yes']",43,"2",0,11.48345,"trial_1","all_QUD","allQUD"
