"asses","workerid","age","education","problems","language","enjoyment","comments","gender","fairprice","speaker_cond"
"Yes",0,64,2,"No","English",2,"Ithink I may have clicked no when Most of the gumballs fell and the voice said ""you got some of the gumballs"" This may have happened once or twice. It was an error on my part.","Male","2.30","allQUD"
"Yes",1,32,3,"No","English",2,"I was a little hesitant how to answer when ""I got two (for example) of the gumballs"" but really had five or more. I figured since the statement is factually correct, and the machine isn't empty, I should agree with it.","Female","2.30","allQUD"
"Yes",2,31,3,"No.","English",1,"Thank you for giving me the opportunity to participate in this study.","Male","3","allQUD"
"Yes",3,28,3,"","english",0,"","Male","3","allQUD"
"Yes",4,22,1,"","English",2,"","Male","2.50","allQUD"
"Confused",5,27,3,"","English",2,"Interesting and fair pay! I wasn't 100% sure on the yes/no thing (like, when I got all of the gumballs, but the voice said I got some...which is technically right? So I would say yes, even though I got, in my mind, more than ""some"")","Female","2.30","allQUD"
"Yes",6,55,1,"no","English",1,"","Female","2.30","allQUD"
"Confused",7,37,3,"No problems.","English",2,"When all of the gumballs were dispensed and the machine said ""some"" I wasn't sure if I should consider that correct or not (which was perhaps the point).","Female","2.30","allQUD"
"No",8,32,3,"sometimes the audio doesn't works","English",2,"","Male","2.30","allQUD"
"Yes",9,27,1,"no issues","english",2,"great hit","Male","2.00","allQUD"
"Yes",10,24,3,"","English",2,"The price is good although it would be interesting to add in the chance of a bonus if you keep the guy from being fired. ","Male","2.30","allQUD"
"Yes",11,32,3,"","english",1,"","Male","3","allQUD"
"Yes",12,22,3,"not at all","english",2,"thanks!","Male","2.30","allQUD"
"Yes",13,62,1,"no","English",1,"none","Female","2.50","allQUD"
"Yes",14,36,3,"No","English",2,"","Male","2.30","allQUD"
"Yes",15,34,3,"no","english",2,"","Male","2.30","allQUD"
"Yes",16,51,3,"no problems but I'm unsure if it only game me some if I should have said yes or no.  I said no because other times I was given a specific count.","English",2,"","Female","2.50","allQUD"
"Yes",17,31,2,"None","English",2,"","Male","Yes","allQUD"
"Yes",18,56,2,"no","English",1,"","Female","2.30","allQUD"
"Yes",19,62,3,"no","English",2,"","Male","2.30","allQUD"
"",20,25,3,"No","English",1,"","Female","2.30","allQUD"
"Yes",21,27,3,"no","english",2,"","Male","2.30","allQUD"
"Yes",22,36,2,"no","English",2,NA,"Female","yes","allQUD"
"Yes",23,34,2,"No","English",2,"","Male","1.50","allQUD"
"Yes",24,61,2,"no","English",1,"I know I messed up a few times, my fingers got ahead of my brain. ","Female","2.30","allQUD"
"Yes",25,33,1,"no","english",2,"no comments","Male","2.30","allQUD"
"Yes",26,39,2,"I had no issues.  ","English",2,"","Male","2.30","allQUD"
"Yes",27,36,1,"no","english",2,"","Female","2.50","allQUD"
"Yes",28,39,3,"no","English",1,"","Male","2.50","allQUD"
"Yes",29,58,3,"No.","English",2,"","Female","2.30","allQUD"
"Yes",30,43,1,"No Problems","English",2,"Interesting Fun Task","Male","Yes","allQUD"
"Yes",31,37,3,"No.","English",2,"Fun!","Female","2.30","allQUD"
"Confused",32,32,2,"n/a","english",1,"","Male","no","allQUD"
"Yes",33,28,2,"No.","Egnlish",2,"Neat! :)","Female","2.30","allQUD"
"Yes",34,38,2,"I had no problems.","English",2,"Thanks, I actually had fun doing this HIT!","Female","2.30","allQUD"
"Yes",35,34,1,"Nope","English",1,"There was information about the gumball machine that couldn't be conveyed with a simple ""I agree"" or ""I disagree"".","Male","2.30","allQUD"
"Yes",36,29,3,"None","English",2,"","Male","3.00","allQUD"
"Yes",37,25,3,"No","English",2,"","Male","2.30","allQUD"
"Yes",38,60,1,"None","English",1,"I really don't have any to offer at this time.","Male","2.00","allQUD"
"Yes",39,60,3,"none","English",1,"I couldn't decide if some should be used on most or not and I changed my mind half way through, sorry about that.","Female","2.30","allQUD"
"No",40,60,1,"no","English",2,"","Male","2.30","allQUD"
"Confused",41,37,2,"when the voice said some and i get them all do i mark yes or no? is some martial or any?","english",2,"super fun! love hits like this!","Male","2.50","allQUD"
"Yes",42,46,3,"no","English",0,"","Male","3.00","allQUD"
"Confused",43,29,2,"no","English",2,"When I got say 10 gumballs and it said 5. While I technically DID get 5 I said false because it was an incorrect report. I hope I did this properly. ","Male","2.30","allQUD"
"Yes",44,56,3,"no","English",2,"fun","Female","yes","allQUD"
"Yes",45,39,2,"No issues","English",2,"","Male","2.3","allQUD"
"Yes",46,29,2,"no","english",2,"","Female","2.30","allQUD"
"Yes",47,34,4,"I pressed the wrong button I did a few times","English",2,"","Female","2.30","allQUD"
"Yes",48,26,3,"n/a","English",1,"n/a","Male","3.0","allQUD"
"Yes",49,34,2,"n/a","English",1,"","Male","yes fair","allQUD"
"Yes",50,26,3,"na","english",2,"na","Male","2.5","anyQUD"
"Yes",51,21,3,"no","english",2,"","Male","yes","anyQUD"
"Yes",52,29,3,"No","English",2,"Thank you!","Male","3.00","anyQUD"
"Yes",53,30,1,"","English",2,"","Male","2.30","anyQUD"
"Confused",54,25,3,"No, everything was fine.","English",1,"I'm assuming you were testing what we'd pick when it came to technicalities but I almost felt like I was answering incorrectly when I received 10 and was asked if I received 2.","Male","3.00","anyQUD"
"Yes",55,25,1,"","English",1,"","Male","2.50","anyQUD"
"Yes",56,29,3,"Nothing","ENGLISH",2,"No comments","Male","$3","anyQUD"
"Yes",57,25,3,"No","English",2,"","Male","2.5","anyQUD"
"Yes",58,36,3,"no","English",1,"","Male","3.00","anyQUD"
"Yes",59,36,3,"no","English",2,"none","Female","2.30","anyQUD"
"Yes",60,61,3,"no","English",2,"Fun","Female","2.40","anyQUD"
"Yes",61,27,3,"No","English",2,"None","Male","2.30","anyQUD"
"Yes",62,36,4,"None","English",2,"Please bring more of such HITs.","Male","$3.00","anyQUD"
"Yes",63,46,3,"it worked perfectly","english",2,"Good luck in ALL of your research!","Male","2.50","anyQUD"
"Yes",64,63,4,"None","English",2,"","Male","$43,500","anyQUD"
"Yes",65,61,1,"no","English",2,"","Female","2.50","anyQUD"
"Yes",66,45,3,"no","English",2,"Very interesting using ""some of"" when it was all of and so on. I couldn't decide really which way was right","Female","2.30","anyQUD"
"Confused",67,27,3,"The agree and disagree explanation was confusing to me. It would have been simpler if it had said yes or no was the machine jammed. And having the agree on the right hand side and disagree on the left hand side threw me off for some reason.","English",1,"","Male","2.50","anyQUD"
