"comments","workerid","asses","problems","age","enjoyment","language","education","fairprice","gender","speaker_cond"
"nothing",0,"Yes","no",48,2,"English",3,"3","Male","age1_all"
"interesting ",1,"Yes","no",30,2,"English",1,"3","Male","age1_all"
"I started to get achy shoulders after a while",2,"Yes","no",59,1,"English",4,"2.5","Female","age1_any"
"It was fun!",3,"Yes","No",40,2,"English",3,"3","Female","age1_any"
NA,4,"Yes","No",25,1,"English",2,"What is shown.","Male","age1_no"
NA,5,"Yes","",29,2,"English",3,"4.00","Male","age1_no"
"thank you",6,"Yes","no",44,1,"English",1,"3.00","Male","age2_all"
"",7,"Yes","nope",62,1,"English",1,"yes","Female","age2_all"
"",8,"Yes","no",46,1,"english",3,"5","Female","age2_any"
"none",9,"Yes","none",38,2,"english",3,"yes","Male","age2_any"
"",10,"Yes","",32,2,"English",3,"2.30","Male","age2_no"
"I enjoyed this experiment a great deal. ",11,"Yes","No that I am aware of. ",44,2,"English",4,"Exactly the compensation of the HIT. ","Female","age2_no"
