"","rawRT","key","audio","age_group","qud","slide_type","image","slide_number","workerid","Answer.time_in_minutes","speaker_cond"
"1","0","Jessica","","age1","allQUD","bot_check","Jessica",1,0,8.86733333333333,"age1all"
"2","0","Four","","age1","allQUD","audio_check","",3,0,8.86733333333333,"age1all"
"3","0","Empty","","age1","allQUD","comprehension_check_1","",4,0,8.86733333333333,"age1all"
"4","2192","No","none.wav","age1","allQUD","practice_trial","13",6,0,8.86733333333333,"age1all"
"5","1625","Yes","all.wav","age1","allQUD","practice_trial","13",7,0,8.86733333333333,"age1all"
"6","1711","No","all.wav","age1","allQUD","practice_trial","0",8,0,8.86733333333333,"age1all"
"7","1787","Yes","none.wav","age1","allQUD","practice_trial","0",9,0,8.86733333333333,"age1all"
"8","1820","No","summa.wav","age1","allQUD","trial_1","13",11,0,8.86733333333333,"age1all"
"9","5175","No","eleven.wav","age1","allQUD","trial_1","8",12,0,8.86733333333333,"age1all"
"10","2998","Yes","summa.wav","age1","allQUD","trial_1","8",13,0,8.86733333333333,"age1all"
"11","1712","No","all.wav","age1","allQUD","trial_1","2",14,0,8.86733333333333,"age1all"
"12","1818","No","summa.wav","age1","allQUD","trial_1","13",15,0,8.86733333333333,"age1all"
"13","1828","Yes","two.wav","age1","allQUD","trial_1","2",16,0,8.86733333333333,"age1all"
"14","1651","No","five.wav","age1","allQUD","trial_1","0",17,0,8.86733333333333,"age1all"
"15","4716","No","thirteen.wav","age1","allQUD","trial_1","11",18,0,8.86733333333333,"age1all"
"16","1826","No","summa.wav","age1","allQUD","trial_1","0",19,0,8.86733333333333,"age1all"
"17","1850","No","four.wav","age1","allQUD","trial_1","5",20,0,8.86733333333333,"age1all"
"18","1668","Yes","two.wav","age1","allQUD","trial_1","2",21,0,8.86733333333333,"age1all"
"19","1701","No","none.wav","age1","allQUD","trial_1","8",22,0,8.86733333333333,"age1all"
"20","1442","Yes","all.wav","age1","allQUD","trial_1","13",23,0,8.86733333333333,"age1all"
"21","1641","Yes","none.wav","age1","allQUD","trial_1","0",24,0,8.86733333333333,"age1all"
"22","2315","No","all.wav","age1","allQUD","trial_1","5",25,0,8.86733333333333,"age1all"
"23","1626","Yes","eight.wav","age1","allQUD","trial_1","8",26,0,8.86733333333333,"age1all"
"24","1699","No","eight.wav","age1","allQUD","trial_1","13",27,0,8.86733333333333,"age1all"
"25","1531","Yes","all.wav","age1","allQUD","trial_1","13",28,0,8.86733333333333,"age1all"
"26","1294","No","summa.wav","age1","allQUD","trial_1","0",29,0,8.86733333333333,"age1all"
"27","891","No","summa.wav","age1","allQUD","trial_1","13",30,0,8.86733333333333,"age1all"
"28","1024","Yes","two.wav","age1","allQUD","trial_1","2",31,0,8.86733333333333,"age1all"
"29","1215","No","none.wav","age1","allQUD","trial_1","11",32,0,8.86733333333333,"age1all"
"30","1451","No","all.wav","age1","allQUD","trial_1","11",33,0,8.86733333333333,"age1all"
"31","1788","No","seven.wav","age1","allQUD","trial_1","11",34,0,8.86733333333333,"age1all"
"32","981","Yes","all.wav","age1","allQUD","trial_1","13",35,0,8.86733333333333,"age1all"
"33","1427","Yes","none.wav","age1","allQUD","trial_1","0",36,0,8.86733333333333,"age1all"
"34","1231","No","all.wav","age1","allQUD","trial_1","0",37,0,8.86733333333333,"age1all"
"35","1108","Yes","all.wav","age1","allQUD","trial_1","13",38,0,8.86733333333333,"age1all"
"36","1721","Yes","two.wav","age1","allQUD","trial_1","2",39,0,8.86733333333333,"age1all"
"37","1709","Yes","summa.wav","age1","allQUD","trial_1","5",40,0,8.86733333333333,"age1all"
"38","1521","Yes","five.wav","age1","allQUD","trial_1","5",41,0,8.86733333333333,"age1all"
"39","4329","Yes","eleven.wav","age1","allQUD","trial_1","11",42,0,8.86733333333333,"age1all"
"40","1535","No","eleven.wav","age1","allQUD","trial_1","0",43,0,8.86733333333333,"age1all"
"41","1074","Yes","eight.wav","age1","allQUD","trial_1","8",44,0,8.86733333333333,"age1all"
"42","1149","No","summa.wav","age1","allQUD","trial_1","13",45,0,8.86733333333333,"age1all"
"43","1190","No","ten.wav","age1","allQUD","trial_1","5",46,0,8.86733333333333,"age1all"
"44","0","Empty","","age1","allQUD","comprehension_check_2","",47,0,8.86733333333333,"age1all"
"45","2821","Yes","summa.wav","age1","allQUD","trial_2","2",48,0,8.86733333333333,"age1all"
"46","1398","No","summa.wav","age1","allQUD","trial_2","13",49,0,8.86733333333333,"age1all"
"47","1087","Yes","all.wav","age1","allQUD","trial_2","13",50,0,8.86733333333333,"age1all"
"48","2053","No","three.wav","age1","allQUD","trial_2","0",51,0,8.86733333333333,"age1all"
