"age","fairprice","gender","workerid","language","enjoyment","problems","education","asses","comments","speaker_cond"
24,"3.00","Female",0,"english",2,"No ",2,"Yes","I really enjoyed this hit and would love to participate in more like this. ","r1-age1-any"
23,"2.30","Male",1,"English",2,"",2,"Yes","Really interesting experiment, keep up the good work fellas","r1-age1-any"
24,"2.00","Female",2,"English",2,"I only got confused when it would ask me if I got some of the gumballs when it gave me all of them. ",1,"Yes","Very fun, kept me entertained. Would love more HITs like this.","r1-age1-any"
25,"$3.00","Male",3,"English",2,"No",3,"Yes","Experiment was very straightforward and easy to understand. I started to get a bit annoyed with the duration of the agree/disagree part. ","r1-age1-any"
21,"3.00","Male",4,"English",2,"none",2,"Yes","This was amazing. I couldn't tell if this was AI teaching itself as I was completing the HIT (or not), but I love it. I would very much enjoy doing these more often.","r1-age1-any"
19,"2.30","Male",5,"English & Turkish",2,"There were no problems or bugs at all.",2,"Yes","I enjoyed the HIT very much and look foward to many more!","r1-age1-any"
25,"Yes","Female",6,"English",2,"No",3,"Yes","","r1-age1-any"
23,"yes","Female",7,"English",1,"no",1,"Yes","","r1-age1-any"
23,"2.3","Male",8,"English",2,"",2,"Yes","When it said I got some of the gumballs I wasn't sure which answer to get some of the times.","r1-age1-any"
21,"yes","Male",9,"English",2,"",2,"Confused","","r1-age1-any"
25,"2.00","Female",10,"English",2,"N/A",1,"No","","r1-age1-any"
21,"2.50","Male",11,"English",1,"No",2,"Yes","N/A","r1-age1-any"
24,"2.00","Male",12,"English",2,"",3,"Yes","","r1-age1-any"
19,"1.50","Female",13,"English",2,"no",2,"Yes","","r1-age1-any"
19,"I'D THINK AROUND 6","Male",14,"ENGLISH",2,"None",2,"Yes","While I do think the HIT wages, as previously asked, should have been closer to 6, that is mainly because I answered slowly. Another worker may have been much faster. ","r1-age1-any"
