"language","comments","asses","enjoyment","gender","workerid","education","problems","age","fairprice","speaker_cond"
"English","This may be a part of what you are studying, but if not, maybe it could be clarified if when all the gumballs drop if that still technically means you got ""some"" if the gumballs.","Yes",1,"Female",0,3,"",24,"2.50","r1-age1-no"
"English","none","Yes",2,"Female",1,3,"no",25,"yes","r1-age1-no"
"English","","Yes",2,"Female",2,3,"N/a",25,"2","r1-age1-no"
"English","Interesting study, made me overanalyze the technicalities of the word 'some.'","Yes",2,"Female",3,4,"no i don't think there were any issues",24,"2.50","r1-age1-no"
"English","","Yes",2,"Male",4,2,"",25,"2.3","r1-age1-no"
"english","","Yes",2,"Female",5,2,"no",24,"1","r1-age1-no"
"English","","Yes",1,"Male",6,2,"No",20,"Yes","r1-age1-no"
"English","There is some ambiguity when first starting in judging whether we should look at the gumballs at the top or the ones deposited, at the bottom.","No",2,"Female",7,3,"",22,"Yes, I think so.","r1-age1-no"
"Spanish","","Yes",2,"Female",8,3,"No",23,"Yes","r1-age1-no"
"english","","Yes",2,"Male",9,2,"",25,"3","r1-age1-no"
"English","","Yes",2,"Female",10,3,"No",22,"$2","r1-age1-no"
"English","","Yes",2,"Male",11,3,"No",24,"$2.30","r1-age1-no"
"english","It was a fun experiment, just want to know what happens if someone get's the answer wrong?","Yes",2,"Female",12,3,"",25,"3.00","r1-age1-no"
"English","","Yes",2,"Other",13,3,"I misclicked twice",23,"yes","r1-age1-no"
"english","enjoyed this hit","No",2,"Female",14,3,"no",25,"yes","r1-age1-no"
"English","","Yes",2,"Male",15,3,"",21,"$2.30","r1-age1-no"
"English","","Yes",2,"Female",16,4,"No",24,"Yes","r1-age1-no"
"english","this was fun! ","Yes",2,"Female",17,3,"no",NA,"yes","r1-age1-no"
"English","","Yes",2,"Female",18,2,"No",21,"Yes","r1-age1-no"
"English","","Yes",2,"Male",19,2,"I was not sure if I should put yes or no for when all of the gumballs went in and they said 'you got some of the gumballs'",22,"3.00","r1-age1-no"
"english","","Confused",1,"Female",20,3,"",23,"yes","r1-age1-no"
"English","","Yes",2,"Male",21,3,"No",24,"Yes","r1-age1-no"
"English","Felt like better keys could have been used so it didn't get confusing, also don't use space to move to next screen, just let it do it on it's own.","Yes",1,"Male",22,2,"none",23,"Yes","r1-age1-no"
"English, Thai","","Yes",1,"Male",23,3,"no",24,"yes","r1-age1-no"
"English","It was pretty fun. I like that we had to differentiate ""some"" between meaning ""all except for at least one"" and ""all""","Yes",2,"Male",24,2,"Nope.",25,"The amount paid was fair, but I'm always happy to receive more money.","r1-age1-no"
"English","","Yes",2,"Female",25,3,"No",23,"2.30","r1-age1-no"
"English","","Yes",2,"Female",26,4,"No",25,"Yes","r1-age1-no"
"english","the voice makes me tired i was starting to nod off. when the experiment ended i was suddenly very awake.","Yes",2,"Male",27,2,"no",25,"2.30","r1-age1-no"
"english","","Yes",1,"Female",28,3,"no",24,"2.00","r1-age1-no"
"English","","No",2,"Female",29,3,"No",24,"$2","r1-age1-no"
"English","","Yes",1,"Male",30,3,"no",23,"no","r1-age1-no"
