workerid,fairprice,asses,gender,comments,enjoyment,age,language,education,problems
0,2.50,Yes,Female,Absolutely loved it. Thanks.,2,69,English,2,"No, loved the survey. Thanks."
1,.50,Yes,Female,,1,56,English,2,no
2,1.50,Yes,Female,"This was a simple and fun experiment. I really liked the visuals and the ""sound"" of the gumball machine.  Thank you very much for the opportunity to participate.",2,47,English,3,The experiment ran very smoothly.  I didn't experience any issues.
3,2.30,Yes,Male,Great hit!!!,2,61,english,3,nho
4,2.30,Yes,Female,all of the gumballs would be how many?,2,61,English,3,no
5,2.30,Yes,Female,,2,45,English,1,No
6,2,Yes,Male,no comments,1,46,English,3,no
7,,Confused,Female,,1,55,,2,
8,2.30,No,Female,no,2,46,english,3,no
9,2.30,Yes,Female,,2,55,English,3,no
10,2.30,Yes,Male,"The directions were not specific, so I could have answered a little differently.  If it dropped all the gumballs and the statement was ""you got 2 of the gumballs"", then the answer is technically Yes.  But I was consistent with a No for that type of question because the statement was not accurate enough - although it was technically correct.  I stayed with this concept all the way through.  It could have been wrong to do so.  But I wanted to show consistency.  I hope my explanation is helpful.",2,62,English,2,"no, all went well."
11,2.30,Yes,Male,"Thank you for letting me take part, it was interesting :)",2,48,english,1,"no, it was fine."
12,yes,Yes,Female,Really fun and easy,2,69,English,2,no
13,2.30,Yes,Female,,2,46,English,2,No.
14,$1.00,Yes,Female,,2,52,English,3,No
15,3.00,Yes,Female,fun game,2,54,Englsh,3,no
16,2.50,,Female,,2,45,English,3,No
17,,Yes,Female,,2,57,English,1,
18,2.30,Yes,Male,Fun thanks - Cheers,2,61,English,2,Loaded fine in Chrome Browser
19,2.5,Yes,Female,"It was repetitive by the end, and there was one time I wish I had a chance to replay the audio",2,46,English,3,
20,2.50,Yes,Female,fun to do ,2,57,English,2,no
21,,Yes,Female,,-1,47,english,-1,no
22,no,Yes,Male,,2,51,English,4,no
23,2.00,Yes,Male,,2,46,English,3,no
24,2.30,Yes,Female,,2,63,English,1,no
25,2.30,Yes,Female,,1,55,english,3,The wording was a bit off.
