"Answer.time_in_minutes","image","audio","response","workerid","Answer.condition","slide_type","slide_number","speaker_cond"
15.2974,"Mary","","[0, 'Mary']",0,"age1-anyQUD","bot_check",1,"r1-age1-any"
15.2974,"","","[0, 'Four']",0,"age1-anyQUD","audio_check",3,"r1-age1-any"
15.2974,"","","[0, 'Jam']",0,"age1-anyQUD","comprehension_check_1",4,"r1-age1-any"
15.2974,"13","none.wav","[10994, 'No']",0,"age1-anyQUD","practice_trial",6,"r1-age1-any"
15.2974,"13","all.wav","[2720, 'Yes']",0,"age1-anyQUD","practice_trial",7,"r1-age1-any"
15.2974,"0","all.wav","[2059, 'Yes']",0,"age1-anyQUD","practice_trial",8,"r1-age1-any"
15.2974,"0","none.wav","[1624, 'No']",0,"age1-anyQUD","practice_trial",9,"r1-age1-any"
15.2974,"8","summa.wav","[1850, 'Yes']",0,"age1-anyQUD","trial_1",11,"r1-age1-any"
15.2974,"8","eight.wav","[2042, 'Yes']",0,"age1-anyQUD","trial_1",12,"r1-age1-any"
15.2974,"11","thirteen.wav","[2221, 'Yes']",0,"age1-anyQUD","trial_1",13,"r1-age1-any"
15.2974,"0","five.wav","[1640, 'Yes']",0,"age1-anyQUD","trial_1",14,"r1-age1-any"
15.2974,"13","eight.wav","[1548, 'Yes']",0,"age1-anyQUD","trial_1",15,"r1-age1-any"
15.2974,"2","two.wav","[1511, 'Yes']",0,"age1-anyQUD","trial_1",16,"r1-age1-any"
15.2974,"5","four.wav","[7032, 'Yes']",0,"age1-anyQUD","trial_1",17,"r1-age1-any"
15.2974,"8","none.wav","[2868, 'No']",0,"age1-anyQUD","trial_1",18,"r1-age1-any"
15.2974,"13","summa.wav","[1658, 'Yes']",0,"age1-anyQUD","trial_1",19,"r1-age1-any"
15.2974,"8","eleven.wav","[1846, 'Yes']",0,"age1-anyQUD","trial_1",20,"r1-age1-any"
15.2974,"13","all.wav","[1717, 'Yes']",0,"age1-anyQUD","trial_1",21,"r1-age1-any"
15.2974,"2","two.wav","[1920, 'Yes']",0,"age1-anyQUD","trial_1",22,"r1-age1-any"
15.2974,"0","summa.wav","[1376, 'No']",0,"age1-anyQUD","trial_1",23,"r1-age1-any"
15.2974,"0","none.wav","[2084, 'Yes']",0,"age1-anyQUD","trial_1",24,"r1-age1-any"
15.2974,"2","all.wav","[3055, 'No']",0,"age1-anyQUD","trial_1",25,"r1-age1-any"
15.2974,"13","summa.wav","[2598, 'No']",0,"age1-anyQUD","trial_1",26,"r1-age1-any"
15.2974,"13","all.wav","[1479, 'Yes']",0,"age1-anyQUD","trial_1",27,"r1-age1-any"
15.2974,"5","all.wav","[1882, 'No']",0,"age1-anyQUD","trial_1",28,"r1-age1-any"
15.2974,"2","two.wav","[1600, 'Yes']",0,"age1-anyQUD","trial_1",29,"r1-age1-any"
15.2974,"0","eleven.wav","[1944, 'No']",0,"age1-anyQUD","trial_1",30,"r1-age1-any"
15.2974,"0","summa.wav","[2273, 'No']",0,"age1-anyQUD","trial_1",31,"r1-age1-any"
15.2974,"5","summa.wav","[3590, 'No']",0,"age1-anyQUD","trial_1",32,"r1-age1-any"
