slide_type,image,slide_number,response,Answer.condition,workerid,audio,Answer.time_in_minutes
bot_check,Sarah,1,"[0, 'sarah']",age2-anyQUD,0,,10.863166666666666
audio_check,,3,"[0, 'Four']",age2-anyQUD,0,,10.863166666666666
comprehension_check_1,,4,"[0, 'Jam']",age2-anyQUD,0,,10.863166666666666
practice_trial,13,6,"[8386, 'No']",age2-anyQUD,0,none.wav,10.863166666666666
practice_trial,13,7,"[2059, 'Yes']",age2-anyQUD,0,all.wav,10.863166666666666
practice_trial,0,8,"[2228, 'No']",age2-anyQUD,0,all.wav,10.863166666666666
practice_trial,0,9,"[1860, 'Yes']",age2-anyQUD,0,none.wav,10.863166666666666
trial_1,8,11,"[2138, 'Yes']",age2-anyQUD,0,summa.wav,10.863166666666666
trial_1,13,12,"[6229, 'No']",age2-anyQUD,0,summa.wav,10.863166666666666
trial_1,13,13,"[2505, 'No']",age2-anyQUD,0,summa.wav,10.863166666666666
trial_1,2,14,"[2328, 'Yes']",age2-anyQUD,0,two.wav,10.863166666666666
trial_1,8,15,"[1962, 'Yes']",age2-anyQUD,0,none.wav,10.863166666666666
trial_1,13,16,"[1710, 'Yes']",age2-anyQUD,0,all.wav,10.863166666666666
trial_1,5,17,"[4225, 'No']",age2-anyQUD,0,four.wav,10.863166666666666
trial_1,13,18,"[3960, 'No']",age2-anyQUD,0,eight.wav,10.863166666666666
trial_1,2,19,"[2366, 'No']",age2-anyQUD,0,all.wav,10.863166666666666
trial_1,2,20,"[1954, 'Yes']",age2-anyQUD,0,two.wav,10.863166666666666
trial_1,0,21,"[1910, 'Yes']",age2-anyQUD,0,none.wav,10.863166666666666
trial_1,0,22,"[2416, 'Yes']",age2-anyQUD,0,five.wav,10.863166666666666
trial_1,11,23,"[5611, 'No']",age2-anyQUD,0,thirteen.wav,10.863166666666666
trial_1,5,24,"[2341, 'No']",age2-anyQUD,0,all.wav,10.863166666666666
trial_1,8,25,"[3697, 'Yes']",age2-anyQUD,0,eight.wav,10.863166666666666
trial_1,0,26,"[2228, 'No']",age2-anyQUD,0,summa.wav,10.863166666666666
trial_1,8,27,"[3160, 'No']",age2-anyQUD,0,eleven.wav,10.863166666666666
trial_1,13,28,"[1789, 'Yes']",age2-anyQUD,0,all.wav,10.863166666666666
trial_1,11,29,"[3613, 'No']",age2-anyQUD,0,seven.wav,10.863166666666666
trial_1,5,30,"[2107, 'No']",age2-anyQUD,0,ten.wav,10.863166666666666
trial_1,0,31,"[1553, 'Yes']",age2-anyQUD,0,none.wav,10.863166666666666
trial_1,8,32,"[2906, 'Yes']",age2-anyQUD,0,eight.wav,10.863166666666666
trial_1,2,33,"[1873, 'Yes']",age2-anyQUD,0,two.wav,10.863166666666666
trial_1,13,34,"[2080, 'No']",age2-anyQUD,0,summa.wav,10.863166666666666
trial_1,11,35,"[3848, 'Yes']",age2-anyQUD,0,eleven.wav,10.863166666666666
trial_1,13,36,"[2782, 'Yes']",age2-anyQUD,0,all.wav,10.863166666666666
trial_1,2,37,"[1742, 'Yes']",age2-anyQUD,0,two.wav,10.863166666666666
trial_1,0,38,"[2137, 'No']",age2-anyQUD,0,eleven.wav,10.863166666666666
trial_1,13,39,"[1953, 'Yes']",age2-anyQUD,0,all.wav,10.863166666666666
trial_1,0,40,"[1881, 'No']",age2-anyQUD,0,all.wav,10.863166666666666
trial_1,5,41,"[2315, 'Yes']",age2-anyQUD,0,five.wav,10.863166666666666
trial_1,0,42,"[2017, 'No']",age2-anyQUD,0,summa.wav,10.863166666666666
trial_1,5,43,"[2339, 'Yes']",age2-anyQUD,0,summa.wav,10.863166666666666
trial_1,13,44,"[1979, 'No']",age2-anyQUD,0,summa.wav,10.863166666666666
trial_1,11,45,"[1890, 'No']",age2-anyQUD,0,none.wav,10.863166666666666
trial_1,11,46,"[2195, 'No']",age2-anyQUD,0,all.wav,10.863166666666666
comprehension_check_2,,47,"[0, 'Jam']",age2-anyQUD,0,,10.863166666666666
trial_2,13,48,"[4914, 'No']",age2-anyQUD,0,ten.wav,10.863166666666666
trial_2,11,49,"[2135, 'No']",age2-anyQUD,0,one.wav,10.863166666666666
trial_2,2,50,"[2081, 'Yes']",age2-anyQUD,0,summa.wav,10.863166666666666
