"gender","comments","age","language","education","workerid","fairprice","problems","enjoyment","asses","speaker_cond"
"Male","","31","English",3,0,"$2 is fair","Yes, on may of them it said my time was up before the woman said how many gumb balls I got.",2,"Yes","allQUD"
"Male","","29","English",3,1,"Yes","No",2,"Yes","allQUD"
"Male","","36","English",3,2,"3.00","no",2,"Yes","allQUD"
"Female","This was a very enjoyable HIT!","54","English",2,3,"2.00","None at all.",2,"Yes","allQUD"
"Female","","29","ENGLISH",3,4,"2","NO",1,"Yes","allQUD"
"Female","","29","English",3,5,"2.00","No.",1,"Yes","allQUD"
"Male","","27","english",1,6,"$3","It would some times not let me choose and say i got it worng",1,"Yes","allQUD"
"Female","","49","English",3,7,"2.5","No",2,"Yes","allQUD"
"Male","Thanks for the interesting survey!","34","English",1,8,"Yes","None",2,"Yes","allQUD"
"Female","it was a fun game","37","english",2,9,"yes","",2,"Yes","allQUD"
"Male","Everything was clear and there were no tech issues so far.","32","English",3,10,"$2 is a fair price.","There were no problems.",2,"Yes","allQUD"
"Male","it was quite lovely and enjoyable","31","English",3,11,"yes","no",2,"Yes","allQUD"
"Male","","48","English",2,12,"2","No.",2,"Yes","allQUD"
"Female","Thank you!","36","English",1,13,"2.00","No problems",2,"Yes","allQUD"
"Female","","52","english",3,14,"2.00","no",2,"Yes","allQUD"
"Male","Good.","25","English",3,15,"500","No",1,"No","allQUD"
"Female","","38","english",3,16,"2","",1,"Yes","allQUD"
"Male","This is nce task.","29","29",2,17,"This is nice task.","nO",2,"Yes","allQUD"
"Female","","47","English",3,18,"2.00","",2,"Yes","allQUD"
"Female","INTERESTING","27","ENGLISH",3,19,"2","NO",2,"Yes","allQUD"
"Female","","58","English",2,20,"2.50","no",1,"Yes","allQUD"
"Male","no comments","38","englsih",3,21,"2.00","none",2,"Yes","allQUD"
"Male","This was an interesting study.","39","English",3,22,"Yes","No",1,"No","allQUD"
"Female","Interesting. Maybe helps for learning the language.","55","English",3,23,"2.00","No",2,"Yes","allQUD"
"Male","","27","English",3,24,"2.50","no",2,"Yes","allQUD"
"Female","","32","English",3,25,"2.00","",2,"Yes","allQUD"
"Male","","48","English",4,26,"2","no",1,"Yes","allQUD"
"Male","","30","english",3,27,"$5","no",2,"Yes","allQUD"
"Male","I dont know if the time frame was suppose to but it made me super nervous and probably panick while trying to count the gumballs in the machine.","25","English",4,28,"1.50","no",2,"Yes","allQUD"
"Male","","56","english",2,29,"yes","No",1,"Yes","allQUD"
"Male","Embedded frame too small to show entire HIT","52","English",3,30,"2.50","",1,"Yes","allQUD"
"Female","I really enjoyed this task a lot and it was really fun :) thank you!","34","English, Cantonese",3,31,"2.00","Some of the gumballs didn't show up or the voice didn't work at times.",2,"Yes","allQUD"
"Female","","34","English",2,32,"2.50","No",1,"Yes","allQUD"
"Male","","47","English",1,33,"2.50","twice it acted like it crashed",1,"Yes","allQUD"
"Female","","37","English",2,34,"yes","no",2,"Yes","allQUD"
"Male","4 sec is barely enough time to count 11 balls. unless # balls are always fixed at 15-20 balls and we can count balls left to figure out answer.","34","English",3,35,"3","no",2,"Yes","allQUD"
"Male","Thanks","36","English",1,36,"Needs to pay a bit more for the repetitive work.","I couldn't hear some of the speech sometimes. It was low volume.",1,"Yes","allQUD"
"Male","Fun survey HIT, hope to see more","25","Cantonese",3,37,"2","no problems",2,"Yes","allQUD"
"Male","","45","english",3,38,"2.00","no",2,"Yes","allQUD"
"Female","","29","english",3,39,"2","",1,"Yes","allQUD"
"Male","Thanks","47","English",2,40,"2.00","No issues",2,"Yes","allQUD"
"Female","none","54","English",3,41,"2.00","no",2,"Yes","allQUD"
"Female","","32","English",3,42,"yes","well I just put it was accurate when number was correct like 2 , 5, some ,or all. ",2,"Yes","allQUD"
"Female","None","26","English",3,43,"3","No",1,"Yes","allQUD"
"Female","No","34","English",3,44,"Yes","No",1,"Yes","allQUD"
"Female","I think the pay was fair and it was an interesting hit. ","24","English",2,45,"$2.00","No problems.",2,"Yes","allQUD"
"Female","Loved it!","62","English",3,46,"2","none",2,"Yes","allQUD"
"Male","","50","English",2,47,"2.00","no problems",2,"Yes","allQUD"
"Female","This is a very fun survey. Thank you.","63","English",3,48,"2.00","No",2,"Yes","allQUD"
"Female","none","68","English",3,49,"2.00","no, just too fast to count some of the gumballs.",1,"Yes","allQUD"
"Male","","30","English",3,50,"2.00","None that I saw",2,"Yes","allQUD"
"Male","good","34","english",3,51,"yes","no",1,"Yes","allQUD"
"Male","","30","english",3,52,"yes","",2,"Yes","allQUD"
"Male","","39","english",3,53,"2.50","none",1,"Yes","allQUD"
"Female","Great experiment.  Would love to play more like this one. ","46","English ",3,54,"2.50","No ",2,"Yes","allQUD"
"Male","None","55","English",2,55,"yes","None",2,"Yes","allQUD"
"Female","","45","English",2,56,"2.00","",2,"Confused","allQUD"
"Male","fun","35","english",3,57,"2.00","no",2,"Yes","allQUD"
"Male","Repetitive","32","English",3,58,"3.50","no",1,"Yes","allQUD"
"Male","good","30","English ",4,59,"2","",2,"","allQUD"
"Male","","53","English",1,60,"Yes","No",1,"Yes","allQUD"
"Male","","25","English",3,61,"2","",2,"Yes","allQUD"
"Female","It was an interesting experiement on language to see what ""some"" meant to me. ""All"" is technically ""some"" but I didn't consider it as such given the instructions. ","27","english",2,62,"yes","no",2,"Yes","allQUD"
"Male","none","29","English",2,63,"1","none",1,"Yes","allQUD"
"Male","","35","english",3,64,"2.50","no",2,"Yes","allQUD"
"Male","None","56","English",3,65,"2.00","None",2,"Yes","allQUD"
"Female","","62","English",2,66,"2.00","No",2,"Yes","allQUD"
"Female","","32","english",2,67,"2.00","",2,"Yes","allQUD"
"Female","None","43","English",3,68,"3.00","No",2,"Yes","allQUD"
"Male","Thank you!","21","English",2,69,"$2.00","A few of the trials skipped right away, but other then that everything went smooth.",2,"Yes","allQUD"
"Female","","30","english",2,70,"3.50","no",2,"Yes","allQUD"
"Female","no thank you","49","english",2,71,"1.8","no",2,"Yes","allQUD"
"Male","","28","english",3,72,"2","no",1,"Yes","allQUD"
"Female","Thanks","68","English",2,73,"yes","none",2,"Yes","allQUD"
"Male","Fun hit.","34","English",2,74,"2.00","No problems.",2,"Yes","allQUD"
"Male","","60","English",1,75,"yes","no",1,"Yes","allQUD"
"Male","","28","english",3,76,"3","no",1,"Yes","allQUD"
"Male","I basically determined that unless the machine was totally wrong, I would agree with it to be sure that the employee went to fill it up.  However, thinking back on it, some of those ""yes"" answers probably should have been ""no"" but I feared that he wouldn't move if I said ""no"" to something like ""He got all the gumballs.""  ","38","English",3,77,"yes","No",2,"Yes","allQUD"
"Female","","46","English",2,78,"2.25","no",2,"Yes","allQUD"
"Male","","44","English",3,79,"2.00","",2,"Yes","allQUD"
"Female","This was interesting and enjoyable to do. Good luck with your experiment!","41","English",3,80,"2.00","No problems or bugs",2,"Yes","allQUD"
"Male","","29","English",2,81,"3.00","None",1,"Yes","allQUD"
"Female","I am not sure whatt he purpose of the study was.","39","Hungarian",3,82,"2.00","no",2,"Yes","allQUD"
"Male","","22","English",1,83,"The pay should be a tad higher.","If I answered too quickly, the game seemed to bug out.",2,"Yes","allQUD"
"Male","good","28","",3,84,"2","na",1,"No","allQUD"
"Male","","28","English",3,85,"2.00","No",2,"Yes","allQUD"
"Female","","28","english",2,86,"2.00","",2,"Yes","allQUD"
"Male","good","30","English",2,87,"good think","no",2,"Yes","allQUD"
"Male","very interest ","39","English",3,88,"2","no",2,"Yes","allQUD"
"Male","","62","English",3,89,"2.00","no",2,"Yes","allQUD"
"Female","Everything went smoothly!","34","english",2,90,"Yes","Nope",2,"No","allQUD"
"Male","","35","English",3,91,"1.5","no problems",2,"No","allQUD"
"Male","","29","english",1,92,"20/hr","sometimes it went too quick and i could answer.",0,"Yes","allQUD"
"Male","","54","englishh",2,93,"yes","In a few of them, the gumball machine flashed, and then disappeared within a second while the voice was still reading",1,"Yes","allQUD"
"Female","","32","English",3,94,"2.00","none",1,"Yes","allQUD"
"Male","","33","English",2,95,"2","No problems",2,"Yes","allQUD"
"Female","Loved this game! Choked a couple of times counting the gumballs when a specific number was given, but still fun!","48","English",1,96,"Yes","No",2,"Yes","allQUD"
"Male","","24","English",3,97,"yes","No",2,"Yes","allQUD"
"Male","sort of confused at first","53","english",3,98,"2","",2,"Yes","allQUD"
"Male","This was a fun task","27","English",3,99,"$2","None",2,"Yes","allQUD"
"Male","","30","English",2,100,"2.00","No",2,"Yes","allQUD"
"Female","","55","English",1,101,"2.00","no",1,"Yes","allQUD"
"Female","","25","English",2,102,"Yes","Some of the rounds timed-out after 1 second instead of 4. ",2,"Yes","allQUD"
"Male","I have no comments. ","24","English",1,103,"2.00","No.",1,"Yes","allQUD"
"Female","","36","english",2,104,"1.00","the screen would sometimesact like i took too long and ask e to press space bar",1,"Confused","allQUD"
"Male","","25","English",1,105,"2.50","no",1,"Yes","allQUD"
"Male","","25","English",1,106,"yes","n/a",2,"Yes","allQUD"
"Female","Hi! Counting the gumballs when it was a specific and larger number was quite hard to do in the time alloted. Thanks!","45","English",3,107,"yes","no",2,"Yes","allQUD"
"Male","","38","English",2,108,"2.00","Just very hard to count more than 5 or 6 gumballs in the few seconds you have",2,"Yes","allQUD"
"Female","n/a","37","English",3,109,"ok","no",1,"Yes","allQUD"
"Female","","31","english",1,110,"yes I think so.","",2,"Yes","allQUD"
"Female","Technically, when you get all the gumballs you do get some. So it shouldn't be counted against you if you answer yes to some.","28","English",1,111,"2.00","No",2,"Yes","allQUD"
"Male","I thought it was oddly challenging","47","English",3,112,"2","NO",2,"Yes","allQUD"
"Female","","35","english",3,113,"","",1,"Yes","allQUD"
"Female","","32","English",2,114,"2.00","no",2,"Yes","allQUD"
