"education","language","fairprice","enjoyment","gender","problems","age","asses","workerid","comments","speaker_cond"
2,"English","1.00",1,"Female","If I would click fast, before she finished her whole sentence, it would glitch out and give me a window's sound error and I would have to press space again. I would hear her sentence about the gumballs and press the button, but I was too fast and she errored out before she finished fully speaking.","35","Yes",0,"This was fun","allQUD"
3,"english","nice",2,"Male","nothing","30","Yes",1,"good","allQUD"
2,"English","1.75",1,"Male","No, thank you","29","Yes",2,"","allQUD"
1,"english","2.00",1,"Male","no","28","Yes",3,"","allQUD"
1,"English","yes",2,"Male","no","60","Yes",4,"","allQUD"
2,"English","2.00",2,"Male","No","26","Yes",5,"","allQUD"
2,"English","1.00",1,"Male","none","51","Yes",6,"average hit","allQUD"
4,"English","2.00",1,"Female","no","37","No",7,"","allQUD"
3,"English","1.50",2,"Female","No bugs or problems","37","Yes",8,"","allQUD"
3,"english","1.50",2,"Male","some slides went too fast","24","Yes",9,"","allQUD"
3,"English","2.00",2,"Male","","32","No",10,"","allQUD"
4,"english","1.50",1,"Female","no","38","Yes",11,"","allQUD"
3,"English","I guess",1,"Female","No, I was just a bit trigger happy","26","Yes",12,"Not much to comment. Curious about the use of all vs some.","allQUD"
2,"English","1.50",1,"Male","no","59","Yes",13,"","allQUD"
2,"English","Yes",2,"Female","There was not enough time to count up to 11 gumballs. I timed-out when I tried to count that high. So, if it looked like ""a lot"" of gumballs, then I said ""yes"" if the lady told me I got ""11 gumballs"".","64","Yes",14,"If the lady said I had two gumballs, when I actually had five, I said ""false"", because I actually had more than two, although it is still true that I had two out of five. Am I making sense? Thanks.","allQUD"
4,"English","1.50",2,"Female","","37","Yes",15,"When it said you'd gotten less/more than you actually had gotten I wasn't sure and answered ""no"" correctly, but then I was thinking that since he didn't want it empty telling him that some came out even if it wasn't the correct amount was the way to go so he could at least no that there were fewer than before","allQUD"
3,"English","2",1,"Male","none","40","Yes",16,"none","allQUD"
1,"english","yes",2,"Female","no","38","Yes",17,"","allQUD"
2,"English","$1.50",2,"Male","At one point it skipped the gumball audio and played a windows error noise.","21","Yes",18,"","allQUD"
1,"English","1.50",1,"Male","","24","Yes",19,"","allQUD"
3,"English","$2",1,"Male","","22","Yes",20,"","allQUD"
3,"English","yes",1,"Female","","31","",21,"","allQUD"
3,"English","3",0,"Male","","32","Yes",22,"","allQUD"
3,"English","$1.50",1,"Female","Yes, many times (about 5 probably), it didn't let me choose F or J, and made an error-type noise and then went on the the next scenario","31","Yes",23,"","allQUD"
3,"english","good",2,"Male","no","30","Yes",24,"good","allQUD"
4,"English","2",1,"Female","no","41","Yes",25,"no problems","allQUD"
1,"english","1.50",2,"Female","no","63","Yes",26,"","allQUD"
4,"English","1.50",2,"Male","Towards the end of the experiment, the screen forwarded to the Press Space Bar note before the woman's voice reported the number of gumballs. It made it impossible to answer those questions in time.","41","Yes",27,"","allQUD"
2,"English","2.50",2,"Male","","28","Yes",28,"","allQUD"
4,"English","1.50",1,"Male","No problems.","37","No",29,"No comments. Thanks!","allQUD"
2,"english","3",2,"Female","no","27","Yes",30,"none","allQUD"
3,"english ","75",2,"Male","no","30","Yes",31,"this survey is very nice ","allQUD"
4,"English","1.50",2,"Female","no","30","Yes",32,"good","allQUD"
2,"English","Pretty low for the time taken, even if the task was easy.",1,"Female","No","28","Yes",33,"","allQUD"
3,"English","1.75",1,"Male","no","37","Yes",34,"","allQUD"
2,"English","2.00",1,"Male","I don't think so.","47","Confused",35,"I got confused and forgot if I was looking in the top or bottom of the gumball machine. So, I was going by the top.","allQUD"
3,"English","2",2,"Female","It skipped just one","62","Yes",36,"Thanks!","allQUD"
3,"english","3.00",1,"Female","no","47","Yes",37,"","allQUD"
3,"English","1.50",2,"Male","No.","34","Yes",38,"None.","allQUD"
3,"english","2",1,"Female","no","31","Yes",39,"it was fun thanks so much","allQUD"
2,"English","1.50",2,"Female","None","32","Yes",40,"NO thank you","allQUD"
3,"english","2.00",1,"Male","no","34","Yes",41,"","allQUD"
3,"English","1.5",1,"Female","","37","Yes",42,"","allQUD"
4,"English","good",2,"Female","no","26","Yes",43,"nice","allQUD"
4,"english","yes",1,"Male","none","33","Yes",44,"is good","allQUD"
3,"English","yes",1,"Female","no","34","Yes",45,"n/a","allQUD"
3,"english","1.5",1,"Male","no","37","Yes",46,"","allQUD"
4,"English","2",1,"Male","none","35","Yes",47,"","allQUD"
3,"English","1.5",2,"Female","None","28","Yes",48,"Very unique study!","allQUD"
2,"english","1.50",2,"Female","kind of confused","28","Confused",49,"","allQUD"
3,"English","",2,"Female","no","23","Yes",50,"","allQUD"
2,"Dutch","2.00",1,"Female","no problems","51","Yes",51,"no comments","allQUD"
2,"english","1.50",1,"Female","no","30","Yes",52,"","allQUD"
3,"Spanish","1.50",2,"Male","Not at all","28","Yes",53,"It was a lot of fun","allQUD"
1,"English","1.50",2,"Male","No problems encountered","55","Yes",54,"Very interesting survey.  Thank you.","allQUD"
3,"English","yes",1,"Female","Sometimes the audio didn't play, and sometimes the question gave me the windows sound as if I didn't answer almost immediately. Before the clipped could have even started.","24","Yes",55,"","allQUD"
4,"english","1.5",2,"Female","","27","Yes",56,"","allQUD"
3,"English","2",1,"Female","No","26","Yes",57,"Thanks!","allQUD"
3,"English","2.00",1,"Male","Didn't let me answer many of them. The round would instantly end without letting me choose F or J.","32","Yes",58,"","allQUD"
3,"English","1.50",1,"Male","No","46","Yes",59,"None","allQUD"
3,"American","50",2,"Male","no","30","Yes",60,"nice","allQUD"
3,"english","2",2,"Male","no","30","Yes",61,"good study","allQUD"
2,"english","2",2,"Female","Some of the numbers seemed to be cut off.","69","Yes",62,"none. thank you.","allQUD"
3,"english","2.00",1,"Female","no","33","Yes",63,"","allQUD"
1,"English","1.75",1,"Female","no","21","Yes",64,"","allQUD"
2,"English","1.50",1,"Female","","26","Yes",65,"Thank you!","allQUD"
2,"English ","1.50",2,"Male","I found no problems or bugs","29","Yes",66,"I have no comments or feedback","allQUD"
3,"English","1.50",2,"Female","no","39","Yes",67,"All good, thank you","allQUD"
2,"English","Yes",2,"Female","No","36","Yes",68,"","allQUD"
3,"english","2.50",0,"Female","","29","Yes",69,"This HIT is underpaid","allQUD"
2,"English","Yes",2,"Female","It timed me out after 1 second 2 times.","25","Yes",70,"","allQUD"
3,"English","1.50",2,"Male","No","29","Yes",71,"","allQUD"
3,"","2.00",0,"Male","","29","Confused",72,"","allQUD"
4,"english","",0,"Female","","34","Yes",73,"","allQUD"
3,"english","2",2,"Female","no","44","Yes",74,"","allQUD"
3,"English","1.75",1,"Male","No","27","Yes",75,"","allQUD"
2,"English","555",2,"Male","na","30","Yes",76,"good ","allQUD"
3,"English","1.50",2,"Female","","55","Confused",77,"I was confused at the beginning because I couldn't remember what f or j stood for and it wasn't one screen or in the practice. Finally I started thinking f was for false, instead of no and yes, and that helped with my confusion.","allQUD"
3,"english","1.5",1,"Female","no","26","Yes",78,"","allQUD"
3,"English","2.50",1,"Male","no","32","Yes",79,"repetitive","allQUD"
2,"english","1.50",2,"Female","no","28","Yes",80,"","allQUD"
3,"malayalam","1.5",2,"Female","no","36","Yes",81,"","allQUD"
1,"English","2.00",1,"Male","nope","29","Yes",82,"Thank you for the opportunity to participate in this study. I look forward to any future encounters we may have and wish you the best of luck with this project.","allQUD"
2,"English","324",2,"Male","No","32","No",83,"Good","allQUD"
2,"English","5.00",1,"Male","None","57","Yes",84,"","allQUD"
2,"english","2",1,"Male","no","26","Yes",85,"","allQUD"
3,"english","3",2,"Male","no","43","Yes",86,"Was fun.  Thank you","allQUD"
1,"English","2.50",1,"Female","no","62","Yes",87,"","allQUD"
3,"English","yes",1,"Female","no","44","Yes",88,"","allQUD"
2,"english","yes",2,"Female","no","36","Yes",89,"fun experiment, I messed up twice, poor guy I probably got him fired ;-)","allQUD"
2,"english","1.5",2,"Male","","28","Yes",90,"","allQUD"
3,"English","2",2,"Male","no","32","Yes",91,"","allQUD"
1,"english","1.75",1,"Female","one time the page mage the error noise when the lady was still speaking and didnt let me choose","28","Yes",92,"","allQUD"
3,"English","1.50",2,"Male","No issues","55","Yes",93,"","allQUD"
3,"english","2.50",2,"Male","none","32","Yes",94,"","allQUD"
1,"English","1.75",1,"Male","No.","26","Yes",95,"","allQUD"
3,"English","1.50",1,"Female","No","43","Yes",96,"","allQUD"
3,"English","2.00",2,"Male","I did not encounter any errors or problems while participating in this experiment.","35","Yes",97,"The instructions were succinct and easy to comprehend. Additionally, the survey is working with no issues or errors encountered. Cheers!","allQUD"
4,"English","1.50",1,"Male","No","40","Yes",98,"N/A","allQUD"
2,"English","1.50",1,"Female","No","25","Yes",99,"","allQUD"
2,"English","1.50",2,"Female","","20","Yes",100,"","allQUD"
3,"English","1.50",1,"Male","no bugs, but I changed my thinking about what the ""correct"" answer should be a few times.","47","Yes",101,"","allQUD"
3,"English","1.50",2,"Female","","24","Yes",102,"The scenario and instructions were written clearly, I didn't struggle to understand or complete any part of the task!","allQUD"
2,"english","1.25",1,"Male","no","63","Yes",103,"","allQUD"
1,"english","2.50",0,"Male","NO","42","Yes",104,"underpaid for this type of HIT","allQUD"
