age,language,comments,gender,problems,enjoyment,education,asses,workerid,fairprice
35,English,,Female,nope,2,3,Yes,0,no
32,English,,Male,,2,1,No,1,2.00
34,ENGLISH,GOOD,Male,NO,2,3,No,2,1.50
33,english,Appreciated having the progress bar.,Male,,1,2,Yes,3,2
30,ENGLISH,GOOD,Male,NO,1,3,Yes,4,5
30,english,i like this experiment,Male,no,2,3,Yes,5,good
58,English,,Female,none,2,3,Yes,6,1.50
31,English,,Female,nope,2,4,Yes,7,yep!
33,Mandarin,,Male,There was one of the pictures not shown.,1,3,Yes,8,2.00
28,English,nice game,Female,nothing,2,4,No,9,30
22,English,,Female,No,2,2,Yes,10,1.75
47,english,no comments,Male,no,2,2,Yes,11,1.50
25,English,interesting,Male,nothing,2,3,Yes,12,1.50
31,english,good,Male,No problem,2,3,Yes,13,1.50
28,english,Making less trials would be good.,Female,Sometimes I wouldn't be able to put in an answer and it'd make a Windows error sound.,0,2,Yes,14,No.
22,Spanish,,Male,,2,2,Yes,15,$1.00
27,English,Great task ,Female,No,2,3,Yes,16,2
27,English,,Female,No,1,1,Yes,17,Yes
28,English,Very nice,Male,No,1,3,Yes,18,No fair
40,english,I didn't want to get the poor guy fired so my answers mostly reflected that.,Female,none,2,3,Confused,19,2.00
32,english,,Male,,2,2,Yes,20,1.50
30,English,I found the controls a bit backwards; intuitively f should have been agree and j should have been disagree. This just made it a bit harder to get accustomed to the HIT,Female,no issues,1,3,Yes,21,Relatively
33,English,This is interesting experiment.,Male,none,2,3,Yes,22,1.50
44,English,This was really tedious and went on too long for $1.50 honestly.,Female,no,1,3,Yes,23,2.00
27,English,,Female,,2,3,Yes,24,1.5
32,English,no comment. ,Male,No. ,2,3,Yes,25,Yes. 
21,english,,Female,some questions came up between the gumballs but i clicked too fast and didnt get to answer it ,1,2,Yes,26,It was okay
32,english,,Female,"Yes, some of the times it would skip the questions",0,3,Yes,27,2
32,English,,Male,No,1,3,Yes,28,1.5
34,English,,Female,No issues,1,2,Yes,29,It was fair
37,English,Include me in your next project.,Male,No problems,1,2,Yes,30,No
28,English,Good and enjoy,Male,No,2,3,Yes,31,1.50
26,English,,Male,No.,1,3,Yes,32,1.50
48,English,this experiment was very interesting and very enjoyable,Male,nothing problems,2,3,Yes,33,good fair
45,english,,Male,no,1,2,Yes,34,2.00
47,English,,Female,no,2,1,Yes,35,1.00
25,English,,Male,no,1,3,Yes,36,2.00
