"","audio","Answer.time_in_minutes","rawRT","key","workerid","slide_type","slide_number","Answer.condition","image","speaker_cond"
"1","",10.3546,"0","sarah",0,"bot_check",1,"all_QUD","Sarah","all"
"2","",10.3546,"0","Four",0,"audio_check",3,"all_QUD","","all"
"3","",10.3546,"0","Empty",0,"comprehension_check_1",4,"all_QUD","","all"
"4","none.wav",10.3546,"2495","No",0,"practice_trial",6,"all_QUD","13","all"
"5","all.wav",10.3546,"1436","Yes",0,"practice_trial",7,"all_QUD","13","all"
"6","all.wav",10.3546,"1960","No",0,"practice_trial",8,"all_QUD","0","all"
"7","none.wav",10.3546,"1979","Yes",0,"practice_trial",9,"all_QUD","0","all"
"8","thirteen.wav",10.3546,"4310","Yes",0,"trial_1",11,"all_QUD","8","all"
"9","two.wav",10.3546,"1918","Yes",0,"trial_1",12,"all_QUD","2","all"
"10","all.wav",10.3546,"1583","Yes",0,"trial_1",13,"all_QUD","13","all"
"11","all.wav",10.3546,"2147","No",0,"trial_1",14,"all_QUD","5","all"
"12","all.wav",10.3546,"1879","No",0,"trial_1",15,"all_QUD","2","all"
"13","some.wav",10.3546,"2944","No",0,"trial_1",16,"all_QUD","13","all"
"14","none.wav",10.3546,"1830","Yes",0,"trial_1",17,"all_QUD","0","all"
"15","some.wav",10.3546,"1747","Yes",0,"trial_1",18,"all_QUD","0","all"
"16","two.wav",10.3546,"2837","Yes",0,"trial_1",19,"all_QUD","2","all"
"17","some.wav",10.3546,"2846","Yes",0,"trial_1",20,"all_QUD","13","all"
"18","eight.wav",10.3546,"2701","No",0,"trial_1",21,"all_QUD","13","all"
"19","eight.wav",10.3546,"2270","Yes",0,"trial_1",22,"all_QUD","8","all"
"20","some.wav",10.3546,"2248","Yes",0,"trial_1",23,"all_QUD","8","all"
"21","none.wav",10.3546,"1784","No",0,"trial_1",24,"all_QUD","8","all"
"22","all.wav",10.3546,"1903","Yes",0,"trial_1",25,"all_QUD","13","all"
"23","eleven.wav",10.3546,"3988","No",0,"trial_1",26,"all_QUD","8","all"
"24","five.wav",10.3546,"1931","No",0,"trial_1",27,"all_QUD","0","all"
"25","four.wav",10.3546,"2872","No",0,"trial_1",28,"all_QUD","5","all"
"26","eleven.wav",10.3546,"2330","No",0,"trial_1",29,"all_QUD","0","all"
"27","eleven.wav",10.3546,"2322","Yes",0,"trial_1",30,"all_QUD","11","all"
"28","seven.wav",10.3546,"2433","No",0,"trial_1",31,"all_QUD","11","all"
"29","two.wav",10.3546,"1562","Yes",0,"trial_1",32,"all_QUD","2","all"
"30","all.wav",10.3546,"1824","No",0,"trial_1",33,"all_QUD","11","all"
"31","none.wav",10.3546,"1613","Yes",0,"trial_1",34,"all_QUD","0","all"
"32","ten.wav",10.3546,"2303","No",0,"trial_1",35,"all_QUD","5","all"
"33","some.wav",10.3546,"2129","Yes",0,"trial_1",36,"all_QUD","13","all"
"34","all.wav",10.3546,"1843","Yes",0,"trial_1",37,"all_QUD","13","all"
"35","all.wav",10.3546,"1301","Yes",0,"trial_1",38,"all_QUD","0","all"
"36","two.wav",10.3546,"1712","Yes",0,"trial_1",39,"all_QUD","2","all"
"37","none.wav",10.3546,"2058","Yes",0,"trial_1",40,"all_QUD","0","all"
"38","all.wav",10.3546,"1445","Yes",0,"trial_1",41,"all_QUD","13","all"
"39","five.wav",10.3546,"1620","Yes",0,"trial_1",42,"all_QUD","5","all"
"40","some.wav",10.3546,"1891","Yes",0,"trial_1",43,"all_QUD","13","all"
"41","eight.wav",10.3546,"3007","Yes",0,"trial_1",44,"all_QUD","8","all"
"42","some.wav",10.3546,"1727","Yes",0,"trial_1",45,"all_QUD","5","all"
"43","some.wav",10.3546,"1743","No",0,"trial_1",46,"all_QUD","0","all"
"44","",10.3546,"0","Empty",0,"comprehension_check_2",47,"all_QUD","","all"
"45","some.wav",10.3546,"1847","No",0,"trial_2",48,"all_QUD","0","all"
"46","eight.wav",10.3546,"3410","Yes",0,"trial_2",49,"all_QUD","8","all"
"47","all.wav",10.3546,"1852","No",0,"trial_2",50,"all_QUD","8","all"
"48","all.wav",10.3546,"1554","Yes",0,"trial_2",51,"all_QUD","13","all"
"49","two.wav",10.3546,"1821","No",0,"trial_2",52,"all_QUD","5","all"
"50","none.wav",10.3546,"1621","No",0,"trial_2",53,"all_QUD","13","all"
"51","some.wav",10.3546,"1525","Yes",0,"trial_2",54,"all_QUD","13","all"
"52","all.wav",10.3546,"1782","No",0,"trial_2",55,"all_QUD","5","all"
"53","all.wav",10.3546,"1431","Yes",0,"trial_2",56,"all_QUD","13","all"
"54","three.wav",10.3546,"1872","No",0,"trial_2",57,"all_QUD","0","all"
"55","two.wav",10.3546,"1527","Yes",0,"trial_2",58,"all_QUD","2","all"
"56","one.wav",10.3546,"2166","No",0,"trial_2",59,"all_QUD","11","all"
"57","five.wav",10.3546,"1644","Yes",0,"trial_2",60,"all_QUD","5","all"
"58","eight.wav",10.3546,"2156","Yes",0,"trial_2",61,"all_QUD","8","all"
"59","some.wav",10.3546,"1575","Yes",0,"trial_2",62,"all_QUD","13","all"
"60","none.wav",10.3546,"1795","Yes",0,"trial_2",63,"all_QUD","0","all"
"61","ten.wav",10.3546,"5188","No",0,"trial_2",64,"all_QUD","13","all"
"62","some.wav",10.3546,"1423","Yes",0,"trial_2",65,"all_QUD","2","all"
"63","eight.wav",10.3546,"2267","Yes",0,"trial_2",66,"all_QUD","8","all"
"64","eleven.wav",10.3546,"4301","Yes",0,"trial_2",67,"all_QUD","11","all"
"65","all.wav",10.3546,"1421","Yes",0,"trial_2",68,"all_QUD","13","all"
"66","twelve.wav",10.3546,"1696","No",0,"trial_2",69,"all_QUD","2","all"
"67","all.wav",10.3546,"1685","Yes",0,"trial_2",70,"all_QUD","13","all"
