"audio","Answer.time_in_minutes","response","workerid","slide_type","slide_number","Answer.condition","image","speaker_cond"
"",10.3546,"[0, 'sarah']",0,"bot_check",1,"all_QUD","Sarah","all"
"",10.3546,"[0, 'Four']",0,"audio_check",3,"all_QUD","","all"
"",10.3546,"[0, 'Empty']",0,"comprehension_check_1",4,"all_QUD","","all"
"none.wav",10.3546,"[2495, 'No']",0,"practice_trial",6,"all_QUD","13","all"
"all.wav",10.3546,"[1436, 'Yes']",0,"practice_trial",7,"all_QUD","13","all"
"all.wav",10.3546,"[1960, 'No']",0,"practice_trial",8,"all_QUD","0","all"
"none.wav",10.3546,"[1979, 'Yes']",0,"practice_trial",9,"all_QUD","0","all"
"thirteen.wav",10.3546,"[4310, 'Yes']",0,"trial_1",11,"all_QUD","8","all"
"two.wav",10.3546,"[1918, 'Yes']",0,"trial_1",12,"all_QUD","2","all"
"all.wav",10.3546,"[1583, 'Yes']",0,"trial_1",13,"all_QUD","13","all"
"all.wav",10.3546,"[2147, 'No']",0,"trial_1",14,"all_QUD","5","all"
"all.wav",10.3546,"[1879, 'No']",0,"trial_1",15,"all_QUD","2","all"
"some.wav",10.3546,"[2944, 'No']",0,"trial_1",16,"all_QUD","13","all"
"none.wav",10.3546,"[1830, 'Yes']",0,"trial_1",17,"all_QUD","0","all"
"some.wav",10.3546,"[1747, 'Yes']",0,"trial_1",18,"all_QUD","0","all"
"two.wav",10.3546,"[2837, 'Yes']",0,"trial_1",19,"all_QUD","2","all"
"some.wav",10.3546,"[2846, 'Yes']",0,"trial_1",20,"all_QUD","13","all"
"eight.wav",10.3546,"[2701, 'No']",0,"trial_1",21,"all_QUD","13","all"
"eight.wav",10.3546,"[2270, 'Yes']",0,"trial_1",22,"all_QUD","8","all"
"some.wav",10.3546,"[2248, 'Yes']",0,"trial_1",23,"all_QUD","8","all"
"none.wav",10.3546,"[1784, 'No']",0,"trial_1",24,"all_QUD","8","all"
"all.wav",10.3546,"[1903, 'Yes']",0,"trial_1",25,"all_QUD","13","all"
"eleven.wav",10.3546,"[3988, 'No']",0,"trial_1",26,"all_QUD","8","all"
"five.wav",10.3546,"[1931, 'No']",0,"trial_1",27,"all_QUD","0","all"
"four.wav",10.3546,"[2872, 'No']",0,"trial_1",28,"all_QUD","5","all"
"eleven.wav",10.3546,"[2330, 'No']",0,"trial_1",29,"all_QUD","0","all"
"eleven.wav",10.3546,"[2322, 'Yes']",0,"trial_1",30,"all_QUD","11","all"
"seven.wav",10.3546,"[2433, 'No']",0,"trial_1",31,"all_QUD","11","all"
"two.wav",10.3546,"[1562, 'Yes']",0,"trial_1",32,"all_QUD","2","all"
"all.wav",10.3546,"[1824, 'No']",0,"trial_1",33,"all_QUD","11","all"
"none.wav",10.3546,"[1613, 'Yes']",0,"trial_1",34,"all_QUD","0","all"
"ten.wav",10.3546,"[2303, 'No']",0,"trial_1",35,"all_QUD","5","all"
"some.wav",10.3546,"[2129, 'Yes']",0,"trial_1",36,"all_QUD","13","all"
"all.wav",10.3546,"[1843, 'Yes']",0,"trial_1",37,"all_QUD","13","all"
"all.wav",10.3546,"[1301, 'Yes']",0,"trial_1",38,"all_QUD","0","all"
"two.wav",10.3546,"[1712, 'Yes']",0,"trial_1",39,"all_QUD","2","all"
"none.wav",10.3546,"[2058, 'Yes']",0,"trial_1",40,"all_QUD","0","all"
"all.wav",10.3546,"[1445, 'Yes']",0,"trial_1",41,"all_QUD","13","all"
"five.wav",10.3546,"[1620, 'Yes']",0,"trial_1",42,"all_QUD","5","all"
"some.wav",10.3546,"[1891, 'Yes']",0,"trial_1",43,"all_QUD","13","all"
"eight.wav",10.3546,"[3007, 'Yes']",0,"trial_1",44,"all_QUD","8","all"
"some.wav",10.3546,"[1727, 'Yes']",0,"trial_1",45,"all_QUD","5","all"
